ProductSN:1923416031
Date&Time,,Voltage(V),UTHD(%),Current(A),ITHD(%),ITHD3(%),ITHD5(%),ITHD7(%),Frequency(Hz),Power Factor,Active Power(W),Reactive Power(Var),Apparent Power(Va),Active Energy(Wh),Reactive Energy(Varh),Apparent Energy(Vah),Current Demand(A),Current Peak Demand(A)&Date,,Total Active Power Deamnd(W),Total Active Power Peak Deamnd(W)&Date,,Total Reactive Power Deamnd(Var),Total Reactive Power Peak Deamnd(Var)&Date,,Total Apparent Power Deamnd(Va),Total Apparent Power Peak Deamnd(Va)&Date,,
Date,Time,UA,UTHA,IA,ITHA,ITHXA,ITHYA,ITHZA,FA,PFA,PA,QA,SA,EPA,EQA,ESA,DmIA,PDmIA,PDmIA_D/T,DmP,PDmP,PDmP_D/T,DmQ,PDmQ,PDmQ_D/T,DmS,PDmS,PDmS_D/T,
2024-11-07,16:41:52,225.59,4.344,141.94,11.795,1.823,9.152,5.958,50.02,0.691,22124.98,22743.19,32010.60,84229,85878,123507,119.03,188.44,2024-11-07 13:17:53,24763.85,97262.75,2024-11-07 13:17:53,45146.94,72597.27,2024-11-07 13:34:38,54586.79,122048.77,2024-11-07 13:17:53,
2024-11-07,16:42:52,225.59,3.786,142.50,11.951,1.799,9.345,6.214,50.00,0.691,22200.70,22946.09,32137.22,84598,86257,124039,121.06,188.44,2024-11-07 13:17:53,25190.37,97262.75,2024-11-07 13:17:53,43528.02,72597.27,2024-11-07 13:34:38,53145.28,122048.77,2024-11-07 13:17:53,
2024-11-07,16:43:52,0.00,0.000,143.86,11.886,1.722,9.279,6.234,0.00,0.000,0.00,0.00,0.00,84941,86608,124534,123.32,188.44,2024-11-07 13:17:53,25727.81,97262.75,2024-11-07 13:17:53,41942.33,72597.27,2024-11-07 13:34:38,51812.45,122048.77,2024-11-07 13:17:53,
2024-11-07,16:44:53,224.30,4.315,148.57,12.783,2.040,9.960,6.785,50.00,0.250,8313.84,-31893.43,33315.41,85018,86630,124925,125.66,188.44,2024-11-07 13:17:53,24710.43,97262.75,2024-11-07 13:17:53,38471.74,72597.27,2024-11-07 13:34:38,49930.98,122048.77,2024-11-07 13:17:53,
2024-11-07,16:45:53,224.50,4.521,148.66,12.252,2.002,9.669,6.539,50.03,0.248,8282.51,-32016.12,33365.01,85155,86630,125478,128.22,188.44,2024-11-07 13:17:53,24312.98,97262.75,2024-11-07 13:17:53,33228.84,72597.27,2024-11-07 13:34:38,48674.79,122048.77,2024-11-07 13:17:53,
