ProductSN:1923416031
Date&Time,,Voltage(V),,,,UTHD(%),,,,Current(A),,,,ITHD(%),,,,ITHD3(%),,,ITHD5(%),,,ITHD7(%),,,Frequency(Hz),,,,Power Factor,,,,Active Power(W),,,,Reactive Power(Var),,,,Apparent Power(Va),,,,Active Energy(Wh),,,,Reactive Energy(Varh),,,,Apparent Energy(Vah),,,,Current Demand(A),,,,Current Peak Demand(A)&Date,,,,,,,,Total Active Power Deamnd(W),Total Active Power Peak Deamnd(W)&Date,,Total Reactive Power Deamnd(Var),Total Reactive Power Peak Deamnd(Var)&Date,,Total Apparent Power Deamnd(Va),Total Apparent Power Peak Deamnd(Va)&Date,,
Date,Time,UA,UB,UC,UAvg,UTHA,UTHB,UTHC,UTHAvg,IA,IB,IC,IAvg,ITHA,ITHB,ITHC,ITHAvg,ITHXA,ITHXB,ITHXC,ITHYA,ITHYB,ITHYC,ITHZA,ITHZB,ITHZC,FA,FB,FC,FAvg,PFA,PFB,PFC,PFAvg,PA,PB,PC,PSum,QA,QB,QC,QSum,SA,SB,SC,SSum,EPA,EPB,EPC,EPSum,EQA,EQB,EQC,EQSum,ESA,ESB,ESC,ESSum,DmIA,DmIB,DmIC,DmIAVG,PDmIA,PDmIA_D/T,PDmIB,PDmIB_D/T,PDmIC,PDmIC_D/T,PDmIAVG,PDmIAVG_D/T,DmP,PDmP,PDmP_D/T,DmQ,PDmQ,PDmQ_D/T,DmS,PDmS,PDmS_D/T,
2024-11-07,12:57:52,222.03,220.34,221.84,221.40,4.670,4.266,4.240,4.392,178.60,179.86,175.20,177.89,9.759,10.292,10.309,10.120,1.697,0.576,1.235,8.025,8.563,7.888,4.720,4.840,4.856,50.00,49.99,49.99,49.99,0.801,0.819,0.771,0.797,31772.35,32465.55,29974.07,94211.97,23376.39,22296.22,24499.36,70171.98,39644.29,39618.18,38854.48,118116.95,290,160,180,630,81,26,53,160,449,269,230,948,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,12:58:52,221.93,220.12,221.54,221.20,4.259,4.223,4.919,4.467,179.17,176.15,173.70,176.34,9.862,10.516,10.624,10.334,1.642,0.749,1.187,8.010,8.853,7.925,4.753,5.043,4.852,50.01,50.01,50.00,50.01,0.799,0.815,0.771,0.795,31766.47,31583.06,29666.64,93016.17,23580.60,22127.79,24316.56,70024.95,39751.34,38764.41,38470.68,116986.42,821,694,679,2194,472,395,457,1324,1111,922,876,2909,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,12:59:53,222.11,220.50,221.93,221.51,6.623,4.372,6.280,5.758,179.74,177.51,175.66,177.64,11.192,10.007,10.743,10.647,1.719,0.726,1.281,7.692,8.400,7.635,4.473,4.734,4.700,50.03,50.02,50.02,50.02,0.802,0.813,0.774,0.796,32000.15,31814.78,30156.84,93971.77,23593.34,22365.00,24266.89,70225.23,39910.60,39129.94,38973.28,118013.82,1355,1222,1177,3754,864,765,863,2492,1777,1571,1522,4870,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:00:53,222.42,220.73,222.05,221.74,4.823,4.157,5.577,4.852,181.10,178.51,175.97,178.53,10.401,10.263,10.175,10.280,1.685,0.852,1.391,7.972,8.663,7.874,4.593,4.869,4.764,50.01,50.01,50.00,50.01,0.791,0.805,0.763,0.786,31841.54,31708.38,29791.31,93341.23,24453.29,23129.71,25037.00,72620.01,40270.91,39392.99,39063.36,118727.25,1888,1752,1677,5317,1267,1148,1278,3693,2449,2228,2175,6852,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:01:53,222.17,220.29,221.63,221.36,3.928,4.805,4.224,4.319,184.15,180.84,177.58,180.86,9.737,10.755,9.504,9.999,1.716,0.879,1.480,8.018,8.597,7.789,4.653,4.915,4.808,49.97,49.97,49.96,49.97,0.793,0.811,0.765,0.790,32436.83,32293.23,30088.30,94818.36,24527.14,22915.87,25064.93,72507.94,40901.45,39825.09,39345.99,120072.53,2424,2285,2177,6886,1675,1531,1696,4902,3126,2888,2830,8844,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:02:53,221.99,220.10,221.68,221.26,3.932,4.587,4.370,4.296,183.33,179.11,177.69,180.04,9.662,10.926,9.337,9.975,1.530,0.785,1.332,7.948,8.682,7.735,4.709,4.972,4.784,49.98,49.97,49.98,49.98,0.797,0.810,0.764,0.790,32409.41,31938.79,30090.91,94439.13,24314.27,22752.17,25301.98,72368.42,40687.35,39411.26,39379.93,119478.55,2965,2822,2679,8466,2082,1911,2112,6105,3806,3549,3485,10840,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:03:52,221.56,219.49,221.04,220.70,3.934,3.947,5.164,4.348,191.90,186.73,184.51,187.72,19.851,9.260,8.950,12.687,1.373,0.693,1.157,7.392,7.513,6.857,4.140,3.922,3.846,50.02,50.02,50.01,50.02,0.799,0.817,0.768,0.795,33978.58,33470.10,31299.77,98748.46,25607.30,23139.51,25637.69,74384.52,42506.52,40975.21,40772.86,124254.58,3626,3476,3300,10402,2496,2297,2539,7332,4591,4313,4243,13147,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:04:52,221.21,219.28,220.84,220.44,4.953,4.276,4.846,4.692,188.88,184.44,182.68,185.33,9.276,10.723,9.904,9.968,1.551,0.758,1.382,7.603,8.327,7.589,4.363,4.657,4.511,50.01,50.02,50.02,50.02,0.796,0.810,0.764,0.790,33233.81,32769.07,30801.08,96803.97,25148.74,23412.17,25783.58,74344.48,41770.23,40432.14,40330.31,122532.69,4192,4034,3822,12048,2917,2688,2969,8574,5299,4998,4923,15220,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:05:53,221.22,219.32,220.85,220.46,3.942,4.471,4.201,4.205,189.41,185.06,183.29,185.92,9.633,10.120,9.595,9.783,1.462,0.809,1.276,7.773,8.462,7.732,4.458,4.803,4.669,49.94,49.94,49.93,49.94,0.796,0.810,0.764,0.790,33336.29,32883.95,30919.88,97140.13,25120.48,23485.03,25827.52,74433.03,41890.34,40577.70,40467.38,122935.41,4747,4582,4336,13665,3335,3079,3400,9814,5997,5674,5596,17267,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:06:53,221.81,219.70,221.07,220.86,4.630,4.230,4.805,4.555,186.37,183.79,178.41,182.86,10.520,9.741,9.751,10.004,1.522,0.784,1.285,7.927,8.431,7.767,4.596,4.715,4.756,49.93,49.94,49.94,49.94,0.797,0.821,0.768,0.795,32918.54,33137.21,30273.03,96328.77,24584.31,22775.21,24955.48,72315.00,41327.68,40368.82,39431.50,121128.00,5300,5136,4847,15283,3749,3463,3823,11035,6691,6351,6263,19305,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:07:53,222.36,220.16,221.62,221.38,5.103,4.229,4.395,4.576,187.55,186.34,179.65,184.51,10.357,10.542,9.177,10.025,1.390,0.786,1.160,7.847,8.316,7.556,4.509,4.699,4.707,49.95,49.95,49.95,49.95,0.799,0.826,0.768,0.798,33307.57,33893.73,30564.79,97766.09,24741.96,22828.47,25193.83,72764.26,41693.21,41011.76,39804.21,122509.17,5853,5698,5358,16909,4160,3843,4242,12245,7383,7034,6926,21343,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:08:53,222.16,220.23,221.66,221.35,4.034,4.082,4.609,4.242,185.74,185.95,179.62,183.77,9.647,10.398,9.017,9.687,1.499,0.679,1.186,7.966,8.451,7.704,4.594,4.740,4.743,49.95,49.95,49.94,49.95,0.799,0.822,0.769,0.797,32940.74,33668.53,30626.80,97236.07,24555.89,23017.81,25256.40,72830.09,41253.27,40940.61,39802.90,121996.78,6405,6262,5869,18536,4569,4225,4662,13456,8074,7718,7592,23384,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:09:53,222.00,220.07,221.51,221.19,4.208,4.553,4.607,4.456,184.51,180.26,177.57,180.78,9.423,11.286,9.932,10.214,1.429,1.013,1.260,7.992,8.767,7.851,4.650,5.006,4.800,49.96,49.95,49.96,49.96,0.795,0.813,0.766,0.791,32568.68,32258.63,30111.80,94939.11,24465.22,22714.60,25096.46,72276.28,40950.40,39659.95,39323.14,119933.50,6954,6812,6379,20145,4979,4609,5083,14671,8762,8392,8256,25410,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:10:52,222.06,220.16,221.61,221.28,4.130,4.244,4.492,4.289,185.86,181.63,179.25,182.25,9.352,10.073,9.854,9.760,1.524,0.830,1.279,7.859,8.605,7.788,4.603,4.875,4.822,49.94,49.93,49.94,49.94,0.798,0.814,0.768,0.793,32907.45,32529.52,30483.21,95920.17,24582.19,22907.21,25159.52,72648.92,41261.76,39976.53,39712.17,120950.45,7498,7350,6883,21731,5387,4988,5500,15875,9445,9054,8913,27412,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:11:53,221.95,220.11,221.55,221.20,4.469,4.238,4.299,4.335,187.29,183.51,181.04,183.95,9.819,10.128,9.882,9.943,1.534,0.870,1.350,7.888,8.642,7.745,4.549,4.815,4.714,49.92,49.91,49.91,49.92,0.800,0.815,0.771,0.795,33246.21,32918.54,30927.06,97091.82,24664.04,23017.15,25202.81,72884.00,41557.45,40381.88,40098.59,122037.91,8048,7893,7394,23335,5797,5371,5921,17089,10135,9721,9578,29434,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:12:53,221.85,219.73,221.40,220.99,4.083,4.498,5.722,4.768,186.71,180.99,179.65,182.45,10.197,10.296,10.501,10.331,1.642,0.799,1.426,8.013,8.609,7.791,4.573,4.843,4.840,49.92,49.93,49.92,49.93,0.800,0.816,0.766,0.794,33140.47,32452.49,30477.33,96070.30,24583.82,22645.01,25343.47,72572.30,41409.27,39757.86,39763.09,120930.23,8602,8438,7905,24945,6208,5751,6343,18302,10828,10389,10244,31461,186.80,183.85,180.65,183.77,186.80,2024-11-07 13:12:38,183.85,2024-11-07 13:12:38,180.65,2024-11-07 13:12:38,183.77,2024-11-07 13:12:38,96100.65,96100.65,2024-11-07 13:12:38,71719.77,71719.77,2024-11-07 13:12:38,120817.46,120817.46,2024-11-07 13:12:38,
2024-11-07,13:13:53,221.62,219.46,221.19,220.76,4.507,4.813,5.204,4.841,187.10,180.98,179.86,182.65,9.737,10.731,9.995,10.154,1.462,0.888,1.265,7.887,8.663,7.759,4.520,4.806,4.779,49.95,49.95,49.96,49.95,0.802,0.817,0.767,0.795,33239.69,32455.11,30506.05,96200.84,24456.72,22497.65,25187.13,72141.51,41452.36,39706.95,39772.22,120931.53,9156,8978,8413,26547,6617,6128,6766,19511,11519,11051,10908,33478,187.29,183.99,180.95,184.08,187.29,2024-11-07 13:13:38,183.99,2024-11-07 13:13:38,180.95,2024-11-07 13:13:38,184.08,2024-11-07 13:13:38,96661.75,96661.75,2024-11-07 13:13:38,72194.41,72194.41,2024-11-07 13:13:38,121457.67,121457.67,2024-11-07 13:13:38,
2024-11-07,13:14:53,221.32,219.61,221.10,220.68,3.968,5.509,4.823,4.767,185.78,182.60,180.69,183.02,9.858,10.593,9.819,10.090,1.403,0.727,1.150,7.873,8.570,7.878,4.528,4.883,4.771,49.97,49.96,49.97,49.97,0.803,0.815,0.774,0.797,32999.48,32678.99,30923.14,96601.63,24373.41,22956.38,24993.05,72322.84,41105.10,40089.45,39939.98,121134.52,9708,9521,8925,28154,7024,6507,7185,20716,12209,11717,11573,35499,187.74,184.31,181.30,184.45,187.74,2024-11-07 13:14:38,184.31,2024-11-07 13:14:38,181.30,2024-11-07 13:14:38,184.45,2024-11-07 13:14:38,96842.07,96842.07,2024-11-07 13:14:38,72340.23,72340.23,2024-11-07 13:14:38,121689.42,121689.42,2024-11-07 13:14:38,
2024-11-07,13:15:53,221.34,219.53,221.14,220.67,5.181,4.431,4.624,4.745,187.29,183.23,181.99,184.17,9.811,10.838,9.604,10.084,1.322,0.833,1.228,7.775,8.567,7.704,4.361,4.749,4.614,49.96,49.97,49.96,49.96,0.804,0.816,0.773,0.798,33309.53,32814.76,31112.44,97236.73,24241.57,22872.25,25214.41,72328.23,41442.56,40212.82,40233.05,121888.42,10261,10068,9440,29769,7430,6889,7603,21922,12898,12387,12240,37525,188.11,184.61,181.60,184.77,188.11,2024-11-07 13:15:38,184.61,2024-11-07 13:15:38,181.60,2024-11-07 13:15:38,184.77,2024-11-07 13:15:38,97044.40,97044.40,2024-11-07 13:15:38,72393.34,72393.72,2024-11-07 13:15:23,121879.55,121879.55,2024-11-07 13:15:38,
2024-11-07,13:16:53,221.90,220.05,221.68,221.21,4.517,4.572,4.363,4.484,184.55,180.45,179.24,181.41,9.157,10.277,10.411,9.948,1.421,0.808,1.215,7.772,8.685,7.873,4.442,4.879,4.809,49.99,49.98,49.99,49.99,0.799,0.812,0.767,0.793,32722.72,32226.65,30462.97,95412.34,24382.56,22910.31,25182.88,72475.75,40939.96,39697.81,39722.62,120360.39,10813,10611,9953,31377,7836,7268,8023,23127,13586,13053,12906,39545,188.38,184.79,181.84,185.00,188.38,2024-11-07 13:16:38,184.79,2024-11-07 13:16:38,181.84,2024-11-07 13:16:38,185.00,2024-11-07 13:16:38,97213.34,97213.34,2024-11-07 13:16:38,72379.27,72393.72,2024-11-07 13:15:23,122005.58,122005.58,2024-11-07 13:16:38,
2024-11-07,13:17:53,222.44,220.43,222.11,221.66,4.185,5.314,5.531,5.010,184.13,180.89,178.00,181.00,9.681,11.118,9.824,10.208,1.414,0.897,1.259,7.937,8.821,7.866,4.620,4.956,4.847,50.01,50.01,50.01,50.01,0.796,0.814,0.761,0.790,32575.21,32437.48,30092.87,95105.56,24386.97,22725.22,25262.28,72374.47,40946.49,39862.30,39523.53,120332.32,11358,11145,10458,32961,8242,7647,8443,24332,14268,13712,13567,41547,188.44,184.77,181.96,185.06,188.44,2024-11-07 13:17:38,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,97260.58,97260.58,2024-11-07 13:17:38,72379.55,72393.72,2024-11-07 13:15:23,122045.59,122045.59,2024-11-07 13:17:38,
2024-11-07,13:18:52,222.29,220.33,221.90,221.51,4.046,4.465,4.620,4.377,179.81,179.10,174.04,177.65,9.921,11.250,9.731,10.301,1.504,0.813,1.196,8.109,8.944,7.972,4.677,4.985,4.900,50.03,50.02,50.02,50.02,0.791,0.814,0.757,0.787,31609.82,32124.17,29233.88,92967.87,24182.93,22615.77,25070.65,71869.34,39958.91,39451.73,38608.40,118019.05,11891,11682,10952,34525,8645,8025,8862,25532,14940,14372,14218,43530,186.96,183.37,180.54,183.62,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,96219.92,97262.75,2024-11-07 13:17:53,72306.88,72393.72,2024-11-07 13:15:23,121142.42,122048.77,2024-11-07 13:17:53,
2024-11-07,13:19:53,222.31,220.22,222.05,221.53,4.781,4.814,4.393,4.663,180.41,178.22,175.24,177.96,9.776,10.941,10.496,10.404,1.722,0.737,1.430,8.150,9.009,8.008,4.578,4.877,4.930,50.00,50.00,50.00,50.00,0.792,0.812,0.753,0.786,31769.74,31843.50,29291.97,92905.20,24173.29,22515.62,25297.08,71985.98,40096.63,39237.64,38901.48,118235.75,12418,12215,11439,36072,9048,8401,9279,26728,15607,15028,14862,45497,185.71,182.36,179.41,182.49,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,95475.66,97262.75,2024-11-07 13:17:53,72133.24,72393.72,2024-11-07 13:15:23,120435.05,122048.77,2024-11-07 13:17:53,
2024-11-07,13:20:53,223.02,221.22,222.88,222.37,3.944,4.316,4.349,4.203,175.84,171.63,171.26,172.91,10.327,10.508,10.052,10.296,1.615,0.732,1.345,8.321,9.153,8.211,4.827,5.130,5.137,50.02,50.01,50.01,50.01,0.781,0.792,0.745,0.773,30613.75,30057.62,28424.49,89095.87,24195.34,22731.59,25155.11,72082.04,39205.65,37958.29,38159.32,115323.27,12933,12734,11918,37585,9449,8779,9699,27927,16263,15673,15502,47438,184.95,181.80,178.77,181.84,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,95106.92,97262.75,2024-11-07 13:17:53,71974.18,72393.72,2024-11-07 13:15:23,120051.22,122048.77,2024-11-07 13:17:53,
2024-11-07,13:21:53,222.88,221.05,222.64,222.19,4.073,4.269,4.354,4.232,176.78,172.35,171.52,173.55,10.210,10.846,10.627,10.561,1.587,0.908,1.404,8.368,9.266,8.263,4.880,5.166,5.109,49.99,49.99,49.99,49.99,0.783,0.795,0.748,0.775,30825.89,30297.83,28540.02,89663.74,24185.38,22805.76,25120.15,72111.28,39391.03,38088.83,38178.25,115658.11,13443,13234,12389,39066,9853,9158,10118,29129,16917,16305,16136,49358,184.09,180.89,178.03,181.00,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,94567.77,97262.75,2024-11-07 13:17:53,71862.19,72393.72,2024-11-07 13:15:23,119560.87,122048.77,2024-11-07 13:17:53,
2024-11-07,13:22:53,223.19,221.30,222.71,222.40,5.026,5.174,4.918,5.040,177.57,173.47,171.04,174.03,10.458,11.571,9.564,10.531,1.522,0.997,1.381,7.975,8.871,7.863,4.759,5.041,4.969,50.00,50.00,50.00,50.00,0.779,0.797,0.747,0.774,30875.50,30583.07,28453.21,89911.78,24477.64,22782.23,25073.92,72333.79,39620.79,38379.30,38081.65,116081.73,13960,13743,12865,40568,10259,9537,10536,30332,17578,16943,16773,51294,183.47,180.04,177.49,180.33,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,94076.88,97262.75,2024-11-07 13:17:53,71848.42,72393.72,2024-11-07 13:15:23,119163.69,122048.77,2024-11-07 13:17:53,
2024-11-07,13:23:52,222.50,220.76,222.27,221.85,5.059,4.959,4.560,4.859,178.44,174.77,173.47,175.56,10.110,11.416,9.898,10.475,1.537,0.917,1.371,8.056,8.931,7.931,4.630,5.064,4.979,50.00,50.01,50.00,50.00,0.785,0.798,0.753,0.779,31150.95,30778.24,29032.84,90962.02,24334.04,22845.29,25118.19,72297.52,39692.59,38571.85,38547.70,116812.14,14481,14258,13347,42086,10668,9918,10955,31541,18243,17587,17414,53244,182.97,179.27,177.02,179.76,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,93645.45,97262.75,2024-11-07 13:17:53,71832.62,72393.72,2024-11-07 13:15:23,118813.19,122048.77,2024-11-07 13:17:53,
2024-11-07,13:24:53,222.95,221.12,222.41,222.16,4.044,5.046,4.252,4.447,173.49,170.04,167.03,170.19,9.654,11.300,10.389,10.448,1.570,0.916,1.377,8.266,9.204,8.210,4.844,5.200,5.188,49.98,49.98,49.99,49.98,0.772,0.791,0.741,0.768,29835.04,29726.04,27533.51,87094.59,24422.58,22609.56,24747.84,71779.98,38669.11,37588.84,37139.11,113397.05,14998,14770,13826,43594,11074,10298,11371,32743,18903,18228,18052,55183,182.49,178.64,176.57,179.23,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,93252.77,97262.75,2024-11-07 13:17:53,71805.75,72393.72,2024-11-07 13:15:23,118486.19,122048.77,2024-11-07 13:17:53,
2024-11-07,13:25:53,223.28,221.29,222.53,222.37,4.012,4.152,4.466,4.210,174.22,170.05,166.22,170.16,10.287,10.753,10.420,10.487,1.547,0.937,1.415,8.182,9.240,8.262,4.949,5.245,5.214,49.94,49.94,49.94,49.94,0.768,0.792,0.737,0.766,29863.76,29797.84,27263.28,86924.88,24630.38,22583.58,24732.65,71946.61,38887.77,37620.17,36978.54,113486.47,15495,15264,14282,45041,11480,10675,11783,33938,19549,18853,18670,57072,181.82,177.98,175.90,178.57,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,92759.89,97262.75,2024-11-07 13:17:53,71765.91,72393.72,2024-11-07 13:15:23,118075.60,122048.77,2024-11-07 13:17:53,
2024-11-07,13:26:53,223.40,221.57,222.83,222.60,3.956,4.184,4.249,4.130,169.43,165.72,162.69,165.95,10.408,10.984,10.188,10.527,1.545,0.983,1.429,8.369,9.377,8.312,5.091,5.377,5.352,49.96,49.97,49.97,49.97,0.759,0.780,0.727,0.756,28728.01,28646.42,26350.76,83725.19,24277.84,22683.89,24647.86,71609.59,37839.48,36707.00,36242.25,110788.73,15985,15751,14730,46466,11887,11051,12194,35132,20189,19472,19281,58942,180.96,177.12,174.96,177.68,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,92098.02,97262.75,2024-11-07 13:17:53,71709.31,72393.72,2024-11-07 13:15:23,117524.55,122048.77,2024-11-07 13:17:53,
2024-11-07,13:27:53,223.32,221.41,222.88,222.54,4.116,4.103,4.399,4.206,170.79,166.18,164.56,167.18,10.008,11.417,10.274,10.566,1.642,0.959,1.459,8.306,9.331,8.311,4.985,5.321,5.254,49.95,49.94,49.96,49.95,0.765,0.783,0.729,0.759,29163.38,28796.55,26720.86,84680.79,24251.38,22576.39,24778.72,71606.48,38131.26,36782.71,36667.18,111581.15,16465,16226,15170,47861,12291,11427,12606,36324,20819,20081,19888,60788,179.81,175.94,173.83,176.53,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,91776.13,97262.75,2024-11-07 13:17:53,72137.87,72393.72,2024-11-07 13:15:23,117378.26,122048.77,2024-11-07 13:17:53,
2024-11-07,13:28:53,223.57,221.60,222.96,222.71,4.228,4.457,4.474,4.386,174.06,169.62,166.80,170.16,9.910,10.895,10.472,10.426,1.526,1.026,1.389,8.126,9.100,8.028,4.896,5.182,5.196,49.98,49.97,49.97,49.97,0.770,0.790,0.737,0.766,29947.96,29704.50,27402.31,87054.77,24637.41,22656.28,24928.36,72222.05,38904.74,37577.09,37180.23,113662.05,16958,16715,15623,49296,12698,11805,13021,37524,21463,20703,20505,62671,178.80,175.06,172.88,175.58,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,91074.48,97262.75,2024-11-07 13:17:53,72093.75,72393.72,2024-11-07 13:15:23,116802.78,122048.77,2024-11-07 13:17:53,
2024-11-07,13:29:53,223.70,221.68,223.06,222.81,4.316,4.401,4.463,4.393,174.81,169.31,167.24,170.45,9.730,11.050,10.600,10.460,1.397,0.949,1.393,8.110,9.155,8.136,4.843,5.169,5.161,49.96,49.97,49.96,49.96,0.771,0.793,0.737,0.767,30156.84,29754.76,27494.35,87405.94,24640.67,22558.42,24973.94,72173.04,39094.04,37522.91,37295.11,113912.05,17459,17211,16080,50750,13109,12180,13435,38724,22114,21329,21125,64568,177.99,174.24,171.99,174.74,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,90459.05,97262.75,2024-11-07 13:17:53,72079.73,72393.72,2024-11-07 13:15:23,116311.40,122048.77,2024-11-07 13:17:53,
